user_id,monetary,frequency,last_purchase_date,recency,avg_items_per_order,average_order_value,first_purchase_date,last_purchase,customer_lifespan_days,active_months,monetary_per_active_month,frequency_per_active_month,inter_purchase_gap_mean,inter_purchase_gap_std
1,25.0,1,2022-06-21 11:29:28+00:00,1290,1.0,25.0,2022-06-21 11:29:28+00:00,2022-06-21 11:29:28+00:00,1,1,25.0,1.0,0.0,0.0
7,38.0,1,2025-05-28 07:13:09+00:00,218,2.0,38.0,2025-05-28 07:13:09+00:00,2025-05-28 07:13:09+00:00,1,1,38.0,1.0,0.0,0.0
12,55.29999923706056,1,2021-04-06 18:52:43+00:00,1731,1.0,55.29999923706056,2021-04-06 18:52:43+00:00,2021-04-06 18:52:43+00:00,1,1,55.29999923706056,1.0,0.0,0.0
13,52.25,1,2024-10-01 23:38:00+00:00,457,1.0,52.25,2024-10-01 23:38:00+00:00,2024-10-01 23:38:00+00:00,1,1,52.25,1.0,0.0,0.0
15,52.0,1,2025-08-05 00:57:54+00:00,149,1.0,52.0,2025-08-05 00:57:54+00:00,2025-08-05 00:57:54+00:00,1,1,52.0,1.0,0.0,0.0
18,34.04999923706055,1,2023-04-08 23:59:22+00:00,998,2.0,34.04999923706055,2023-04-08 23:59:22+00:00,2023-04-08 23:59:22+00:00,1,1,34.04999923706055,1.0,0.0,0.0
19,27.979999542236328,1,2023-09-10 20:11:50+00:00,844,1.0,27.979999542236328,2023-09-10 20:11:50+00:00,2023-09-10 20:11:50+00:00,1,1,27.979999542236328,1.0,0.0,0.0
21,127.51000213623048,1,2024-08-16 14:59:34+00:00,503,1.0,127.51000213623048,2024-08-16 14:59:34+00:00,2024-08-16 14:59:34+00:00,1,1,127.51000213623048,1.0,0.0,0.0
23,38.9900016784668,1,2024-05-04 12:55:50+00:00,607,1.0,38.9900016784668,2024-05-04 12:55:50+00:00,2024-05-04 12:55:50+00:00,1,1,38.9900016784668,1.0,0.0,0.0
24,45.4900016784668,1,2025-09-10 12:03:00+00:00,113,1.0,45.4900016784668,2025-09-10 12:03:00+00:00,2025-09-10 12:03:00+00:00,1,1,45.4900016784668,1.0,0.0,0.0
29,112.95000076293945,1,2025-02-24 09:08:30+00:00,311,2.0,112.95000076293945,2025-02-24 09:08:30+00:00,2025-02-24 09:08:30+00:00,1,1,112.95000076293945,1.0,0.0,0.0
30,11.140000343322754,1,2025-01-07 06:45:31+00:00,359,1.0,11.140000343322754,2025-01-07 06:45:31+00:00,2025-01-07 06:45:31+00:00,1,1,11.140000343322754,1.0,0.0,0.0
32,96.0,1,2025-10-09 22:20:23+00:00,84,1.0,96.0,2025-10-09 22:20:23+00:00,2025-10-09 22:20:23+00:00,1,1,96.0,1.0,0.0,0.0
34,92.55999755859376,1,2024-04-02 03:11:28+00:00,639,1.0,92.55999755859376,2024-04-02 03:11:28+00:00,2024-04-02 03:11:28+00:00,1,1,92.55999755859376,1.0,0.0,0.0
37,40.109999656677246,2,2024-12-30 05:38:42+00:00,367,1.0,20.054999828338623,2024-03-01 20:27:50+00:00,2024-12-30 05:38:42+00:00,304,2,20.054999828338623,1.0,303.0,0.0
38,102.72000122070312,1,2024-06-26 06:37:11+00:00,554,2.0,102.72000122070312,2024-06-26 06:37:11+00:00,2024-06-26 06:37:11+00:00,1,1,102.72000122070312,1.0,0.0,0.0
41,26.979999542236328,2,2025-12-04 12:43:36+00:00,28,1.0,13.489999771118164,2025-08-01 10:19:00+00:00,2025-12-04 12:43:36+00:00,126,2,13.489999771118164,1.0,125.0,0.0
44,160.10000228881836,3,2024-04-22 19:22:56+00:00,619,1.6666666666666667,53.36666742960612,2022-10-15 19:20:44+00:00,2024-04-22 19:22:56+00:00,556,3,53.36666742960612,1.0,277.0,118.79393923933998
46,24.989999771118164,1,2023-06-12 11:34:24+00:00,934,1.0,24.989999771118164,2023-06-12 11:34:24+00:00,2023-06-12 11:34:24+00:00,1,1,24.989999771118164,1.0,0.0,0.0
54,68.9000015258789,1,2022-07-04 07:10:17+00:00,1277,1.0,68.9000015258789,2022-07-04 07:10:17+00:00,2022-07-04 07:10:17+00:00,1,1,68.9000015258789,1.0,0.0,0.0
57,49.5,1,2024-03-10 14:56:03+00:00,662,1.0,49.5,2024-03-10 14:56:03+00:00,2024-03-10 14:56:03+00:00,1,1,49.5,1.0,0.0,0.0
60,194.8299961090088,1,2020-11-06 04:07:19+00:00,1882,2.0,194.8299961090088,2020-11-06 04:07:19+00:00,2020-11-06 04:07:19+00:00,1,1,194.8299961090088,1.0,0.0,0.0
64,40.220001220703125,1,2025-10-16 19:14:34+00:00,77,1.0,40.220001220703125,2025-10-16 19:14:34+00:00,2025-10-16 19:14:34+00:00,1,1,40.220001220703125,1.0,0.0,0.0
68,69.5,1,2025-02-21 02:25:55+00:00,314,1.0,69.5,2025-02-21 02:25:55+00:00,2025-02-21 02:25:55+00:00,1,1,69.5,1.0,0.0,0.0
72,167.0,1,2025-03-30 22:53:05+00:00,277,1.0,167.0,2025-03-30 22:53:05+00:00,2025-03-30 22:53:05+00:00,1,1,167.0,1.0,0.0,0.0
