user_id,avg_items_per_order,active_months,monetary_per_active_month,frequency_per_active_month,inter_purchase_gap_mean,inter_purchase_gap_std
1,1.0,1,25.0,1.0,0.0,0.0
7,2.0,1,38.0,1.0,0.0,0.0
12,1.0,1,55.29999923706056,1.0,0.0,0.0
13,1.0,1,52.25,1.0,0.0,0.0
15,1.0,1,52.0,1.0,0.0,0.0
18,2.0,1,34.04999923706055,1.0,0.0,0.0
19,1.0,1,27.979999542236328,1.0,0.0,0.0
21,1.0,1,127.51000213623048,1.0,0.0,0.0
23,1.0,1,38.9900016784668,1.0,0.0,0.0
24,1.0,1,45.4900016784668,1.0,0.0,0.0
29,2.0,1,112.95000076293945,1.0,0.0,0.0
30,1.0,1,11.140000343322754,1.0,0.0,0.0
32,1.0,1,96.0,1.0,0.0,0.0
34,1.0,1,92.55999755859376,1.0,0.0,0.0
37,1.0,2,20.054999828338623,1.0,303.0,0.0
38,2.0,1,102.72000122070312,1.0,0.0,0.0
41,1.0,2,13.489999771118164,1.0,125.0,0.0
44,1.6666666666666667,3,53.36666742960612,1.0,277.0,118.79393923933998
46,1.0,1,24.989999771118164,1.0,0.0,0.0
54,1.0,1,68.9000015258789,1.0,0.0,0.0
57,1.0,1,49.5,1.0,0.0,0.0
60,2.0,1,194.8299961090088,1.0,0.0,0.0
64,1.0,1,40.220001220703125,1.0,0.0,0.0
68,1.0,1,69.5,1.0,0.0,0.0
72,1.0,1,167.0,1.0,0.0,0.0
82,1.0,1,15.75,1.0,0.0,0.0
90,4.0,1,197.0800018310547,1.0,0.0,0.0
93,1.0,1,29.950000762939453,1.0,0.0,0.0
98,1.0,1,100.0,1.0,0.0,0.0
100,1.0,1,104.0,1.0,0.0,0.0
102,1.0,2,134.9749984741211,1.0,1558.0,0.0
105,1.5,2,82.46499919891357,1.0,63.0,0.0
116,1.0,1,35.0,1.0,0.0,0.0
120,1.0,1,60.0,1.0,0.0,0.0
121,1.0,1,69.5,1.0,0.0,0.0
122,1.0,1,10.800000190734863,1.0,0.0,0.0
125,1.0,1,63.97999954223633,1.0,0.0,0.0
127,1.0,1,115.0,1.0,0.0,0.0
134,2.0,1,117.94999694824217,1.0,0.0,0.0
139,1.0,1,166.0,1.0,0.0,0.0
145,1.0,1,14.989999771118164,1.0,0.0,0.0
152,1.0,1,14.210000038146973,1.0,0.0,0.0
154,1.0,1,16.5,1.0,0.0,0.0
158,2.0,1,61.489999771118164,1.0,0.0,0.0
163,1.0,1,24.5,1.0,0.0,0.0
175,1.0,2,28.149999618530273,1.0,1133.0,0.0
177,1.0,1,128.0,1.0,0.0,0.0
181,1.0,1,5.949999809265137,1.0,0.0,0.0
184,1.0,1,168.0,1.0,0.0,0.0
185,1.0,1,24.989999771118164,1.0,0.0,0.0
188,1.0,1,49.9900016784668,1.0,0.0,0.0
189,1.0,1,39.5,1.0,0.0,0.0
191,1.0,1,39.9900016784668,1.0,0.0,0.0
195,1.0,1,13.0,1.0,0.0,0.0
197,1.0,1,24.0,1.0,0.0,0.0
201,2.0,1,62.9900016784668,1.0,0.0,0.0
211,2.3333333333333335,3,139.27666823069254,1.0,564.5,675.2869760331529
214,1.5,2,43.76500082015991,1.0,181.0,0.0
216,3.0,2,296.19500064849854,1.0,228.0,0.0
217,1.0,1,9.989999771118164,1.0,0.0,0.0
221,2.0,1,33.39999961853028,1.0,0.0,0.0
225,4.0,1,222.98000144958496,1.0,0.0,0.0
235,1.0,1,49.950000762939446,1.0,0.0,0.0
